Thu Mar  3 06:23:21 2022 Fold 2, Epoch 16, lr: 0.0000484, train loss: 0.02304, valid loss: 1.77501, Acc: 64.9947, AUC: 0.702180
Thu Mar  3 06:59:49 2022 Fold 2, Epoch 17, lr: 0.0000316, train loss: 0.01435, valid loss: 1.91268, Acc: 64.3606, AUC: 0.697391
Thu Mar  3 07:36:57 2022 Fold 2, Epoch 18, lr: 0.0000181, train loss: 0.01051, valid loss: 2.12751, Acc: 65.0789, AUC: 0.704160
Thu Mar  3 08:14:06 2022 Fold 2, Epoch 19, lr: 0.0000081, train loss: 0.00710, valid loss: 2.18507, Acc: 64.9550, AUC: 0.702245
Thu Mar  3 08:49:18 2022 Fold 2, Epoch 20, lr: 0.0000020, train loss: 0.00538, valid loss: 2.19538, Acc: 64.9327, AUC: 0.700948
Thu Mar  3 09:23:51 2022 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.63305, valid loss: 0.61882, Acc: 65.4361, AUC: 0.716323
Thu Mar  3 09:58:22 2022 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.61939, valid loss: 0.61095, Acc: 66.5444, AUC: 0.731295
Thu Mar  3 10:32:43 2022 Fold 3, Epoch 3, lr: 0.0002980, train loss: 0.59542, valid loss: 0.60225, Acc: 67.2955, AUC: 0.738171
Thu Mar  3 11:07:06 2022 Fold 3, Epoch 4, lr: 0.0002919, train loss: 0.57385, valid loss: 0.61421, Acc: 66.9064, AUC: 0.728792
Thu Mar  3 11:41:18 2022 Fold 3, Epoch 5, lr: 0.0002819, train loss: 0.54765, valid loss: 0.60428, Acc: 67.4925, AUC: 0.743129
Thu Mar  3 12:15:41 2022 Fold 3, Epoch 6, lr: 0.0002684, train loss: 0.50952, valid loss: 0.65889, Acc: 66.1947, AUC: 0.728920
Thu Mar  3 12:49:54 2022 Fold 3, Epoch 7, lr: 0.0002516, train loss: 0.45064, valid loss: 0.70127, Acc: 66.1799, AUC: 0.729929
Thu Mar  3 13:24:17 2022 Fold 3, Epoch 8, lr: 0.0002320, train loss: 0.37556, valid loss: 0.74587, Acc: 65.3696, AUC: 0.715184
Thu Mar  3 13:58:33 2022 Fold 3, Epoch 9, lr: 0.0002103, train loss: 0.29351, valid loss: 0.82069, Acc: 65.7243, AUC: 0.719629
Thu Mar  3 14:32:55 2022 Fold 3, Epoch 10, lr: 0.0001868, train loss: 0.21881, valid loss: 0.91736, Acc: 65.6135, AUC: 0.713614
Thu Mar  3 15:07:16 2022 Fold 3, Epoch 11, lr: 0.0001624, train loss: 0.15665, valid loss: 1.15863, Acc: 65.0667, AUC: 0.707473
Thu Mar  3 15:42:31 2022 Fold 3, Epoch 12, lr: 0.0001376, train loss: 0.11143, valid loss: 1.19748, Acc: 64.5914, AUC: 0.700253
Thu Mar  3 16:17:31 2022 Fold 3, Epoch 13, lr: 0.0001132, train loss: 0.07727, valid loss: 1.28729, Acc: 65.0150, AUC: 0.703528
Thu Mar  3 16:52:57 2022 Fold 3, Epoch 14, lr: 0.0000897, train loss: 0.05397, valid loss: 1.50150, Acc: 65.4657, AUC: 0.709811
Thu Mar  3 17:27:26 2022 Fold 3, Epoch 15, lr: 0.0000680, train loss: 0.03623, valid loss: 1.69302, Acc: 65.0914, AUC: 0.708738
Thu Mar  3 18:01:47 2022 Fold 3, Epoch 16, lr: 0.0000484, train loss: 0.02359, valid loss: 1.75038, Acc: 65.0938, AUC: 0.705347
Thu Mar  3 18:36:05 2022 Fold 3, Epoch 17, lr: 0.0000316, train loss: 0.01548, valid loss: 1.96845, Acc: 65.1431, AUC: 0.707186
Thu Mar  3 19:10:21 2022 Fold 3, Epoch 18, lr: 0.0000181, train loss: 0.01042, valid loss: 1.99853, Acc: 65.2908, AUC: 0.707410
Thu Mar  3 19:44:45 2022 Fold 3, Epoch 19, lr: 0.0000081, train loss: 0.00740, valid loss: 2.09966, Acc: 65.4164, AUC: 0.708714
Thu Mar  3 20:18:52 2022 Fold 3, Epoch 20, lr: 0.0000020, train loss: 0.00609, valid loss: 2.10948, Acc: 65.4361, AUC: 0.709946
